Date,Club,Ball Speed,Club Speed (Estimated),Smash Factor (Estimated),Carry,Total,Launch Angle,Launch Direction,Spin Rate,Apex Height,Apex Time,Descent Angle,Shot Type
2026-05-18T10:00:00,4I,121.9,89.9,1.36,196.1,199.2,14.8,0.4,5375,104,6.6,45,Straight
2026-05-18T10:01:00,4I,125,89.6,1.40,183.1,190.7,14.4,1.2,4671,108,6.7,44.5,Straight
2026-05-18T10:02:00,4I,122.6,90.4,1.36,186.4,197.1,13,2.8,4744,126,7.2,44,Straight
2026-05-18T10:03:00,4I,128.4,87.8,1.46,207.5,211.3,14,-0.8,5292,101,6.5,45.4,Draw
2026-05-18T10:04:00,4I,122.3,88.9,1.38,195.7,201,14.3,1.2,4584,124,7.1,48,Straight
2026-05-18T10:05:00,4I,124.9,88.3,1.41,194,194.3,14.4,3.9,5180,100,6.5,47.5,Draw
2026-05-18T10:00:00,4I,121.6,90.1,1.35,188.5,194.4,13.2,0.1,4783,117,6.9,43.5,Fade
2026-05-18T10:00:00,5I,118.6,87.4,1.36,167.2,177.2,16.3,-1.7,6766,102,6.6,50.3,Fade
2026-05-18T10:01:00,5I,118.8,84.4,1.41,170,175.3,16.2,-1.3,6626,116,6.9,49.2,Straight
2026-05-18T10:02:00,5I,120.9,85.7,1.41,158.9,169.8,16.9,-1.6,6236,112,6.8,49.3,Draw
2026-05-18T10:03:00,5I,120.8,86.2,1.40,169.4,176.7,18.6,0.7,6195,113,6.8,48.5,Draw
2026-05-18T10:04:00,5I,119.7,86.5,1.38,158.4,164.9,18.1,-1.1,5883,115,6.9,45.5,Straight
2026-05-18T10:05:00,5I,118.2,86.3,1.37,164.6,171.6,16.4,-3,5998,118,7,45.8,Draw
2026-05-18T10:00:00,5I,121.5,88.1,1.38,169.5,171.2,18.2,1.3,6433,122,7.1,51.2,Straight
2026-05-18T10:01:00,5I,123.2,85,1.45,159.2,164.7,16.3,-0.2,6748,113,6.8,45.5,Draw
2026-05-18T10:02:00,5I,121,88,1.37,158,162,17.8,0.6,6295,116,6.9,47,Draw
2026-05-18T10:03:00,5I,118.9,86.3,1.38,160.2,163.3,19,3.3,6985,123,7.1,49.5,Straight
2026-05-18T10:04:00,5I,120.6,88.4,1.36,164,167.9,15.6,3.1,5460,107,6.7,47.8,Straight
2026-05-18T10:05:00,5I,121.6,85.4,1.42,162.4,165.6,16.5,-4.1,5920,116,6.9,48.3,Draw
2026-05-18T10:00:00,5I,119,86.5,1.38,159.8,163.1,17.3,0.7,7410,117,6.9,46.2,Draw
2026-05-18T10:01:00,5I,120.7,84,1.44,164.2,171,18.6,-1.2,7098,109,6.7,50.7,Draw
2026-05-18T10:02:00,5I,119.7,84.2,1.42,154.9,164.3,16.5,-0.5,5031,124,7.1,50.9,Straight
2026-05-18T10:03:00,5I,121.1,86.2,1.41,171,174.9,18.5,-1.7,6564,126,7.2,46.5,Fade
2026-05-18T10:00:00,6I,117.5,83.2,1.41,176.6,180,17.6,1,5902,118,7,45.3,Straight
2026-05-18T10:01:00,6I,117.7,83.6,1.41,166.8,175.7,16.8,1.1,5664,117,6.9,47.9,Draw
2026-05-18T10:02:00,6I,116.2,82.9,1.40,179.6,188,16.5,0.9,5766,113,6.8,45.1,Straight
2026-05-18T10:03:00,6I,115.8,85.1,1.36,177.4,186.9,15.8,-0.9,5592,113,6.8,46.8,Straight
2026-05-18T10:04:00,6I,117.1,83.5,1.40,177,186,14.4,-4.2,5438,122,7.1,49,Straight
2026-05-18T10:05:00,6I,115.3,84.2,1.37,177.4,184.4,17.8,0.3,6067,124,7.1,44.6,Straight
2026-05-18T10:00:00,6I,116.5,84.9,1.37,172.2,177,15.7,2.5,5740,109,6.7,46.1,Straight
2026-05-18T10:01:00,6I,116.1,85.5,1.36,176.6,182.4,14.9,0.8,5992,96,6.4,48.6,Straight
2026-05-18T10:02:00,6I,120.3,85.5,1.41,175.2,180.7,16.3,5.6,4936,103,6.6,43.9,Straight
2026-05-18T10:03:00,6I,116.2,83.8,1.39,170.2,179.2,16.3,-3,6117,125,7.1,44.8,Straight
2026-05-18T10:04:00,6I,117.7,83.2,1.41,173.2,176.2,14.9,1.3,5673,113,6.8,47.3,Straight
2026-05-18T10:05:00,6I,116.3,85.2,1.36,169.1,178,15.2,1.6,5670,99,6.5,44.3,Straight
2026-05-18T10:00:00,6I,117.9,83.2,1.42,181.8,187.9,16.5,2.4,5315,114,6.9,47,Straight
2026-05-18T10:01:00,6I,114.8,83,1.38,175.5,182.4,15.5,2.1,5750,111,6.8,46.1,Straight
2026-05-18T10:02:00,6I,119.1,85.6,1.39,182.5,190.2,16.8,0.5,5020,111,6.8,48,Straight
2026-05-18T10:00:00,7I,114.6,80.1,1.43,160.8,165.5,17.6,-0.6,6190,124,7.1,47.8,Straight
2026-05-18T10:01:00,7I,114.6,81.1,1.41,154.5,160,16.9,3.2,6601,114,6.9,47.7,Straight
2026-05-18T10:02:00,7I,113.1,81.8,1.38,169.8,174.5,15.7,1.3,6374,124,7.1,47.7,Straight
2026-05-18T10:03:00,7I,113.4,80.6,1.41,174.3,183.6,17.9,-4.3,5501,105,6.6,50.2,Straight
2026-05-18T10:04:00,7I,112.8,83.4,1.35,168.4,173.2,18.8,-1.4,5679,126,7.2,47.1,Draw
2026-05-18T10:05:00,7I,112.7,82.2,1.37,170.6,178.9,16.6,1.3,6149,111,6.8,47.2,Straight
2026-05-18T10:00:00,7I,111.9,80.5,1.39,165.9,170,18.5,2.9,5942,119,7,50.4,Straight
2026-05-18T10:01:00,7I,112.1,81.6,1.37,162.8,166.5,19.3,1.9,5725,110,6.8,50,Straight
2026-05-18T10:02:00,7I,110.8,80.9,1.37,173,180.9,16.8,2.2,5902,111,6.8,45.9,Fade
2026-05-18T10:03:00,7I,114.1,83.7,1.36,174.8,182.1,17.7,0.1,5814,114,6.9,45.4,Straight
2026-05-18T10:04:00,7I,114,80.8,1.41,162.9,166.4,17.2,-1.2,6143,117,6.9,48.3,Straight
2026-05-18T10:05:00,7I,114.5,81.2,1.41,172.7,177.6,17.7,1.8,5808,123,7.1,51.2,Straight
2026-05-18T10:00:00,7I,112.3,80.5,1.39,171.6,177,17.2,0.9,5997,131,7.3,47.9,Straight
2026-05-18T10:01:00,7I,113.1,79.9,1.42,165.5,169.2,17.5,2.1,6434,113,6.8,48.7,Straight
2026-05-18T10:02:00,7I,111.7,81.6,1.37,167.5,173.4,17.8,0.5,6855,115,6.9,48.3,Straight
2026-05-18T10:00:00,8I,110.1,77.9,1.41,149.5,155.9,20.5,0.9,7146,115,6.9,48,Draw
2026-05-18T10:01:00,8I,107.9,78.3,1.38,144.8,153.5,17.4,-0.7,6736,118,7,49.8,Straight
2026-05-18T10:02:00,8I,111.3,78.8,1.41,142.4,146.7,19.3,-1.1,7075,130,7.3,50.7,Draw
2026-05-18T10:03:00,8I,107.4,78.5,1.37,154.4,160.2,18,-0.1,6464,127,7.2,49.7,Straight
2026-05-18T10:04:00,8I,106.3,80,1.33,144.8,148.6,18.8,-2,6168,127,7.2,49.4,Straight
2026-05-18T10:05:00,8I,107.4,78.3,1.37,148.4,155.3,18.4,-0.4,7081,129,7.2,48.9,Straight
2026-05-18T10:00:00,8I,106.7,76.2,1.40,152.3,157.9,19.4,-2.3,6831,115,6.9,53,Fade
2026-05-18T10:01:00,8I,106,76.3,1.39,157,162,18.8,0.3,6799,115,6.9,48.9,Draw
2026-05-18T10:02:00,8I,106.8,78.7,1.36,156.4,162.6,18,3.3,6990,109,6.7,48.9,Draw
2026-05-18T10:03:00,8I,108.1,78.6,1.38,146.8,152.5,18.2,1.3,6890,138,7.5,53.1,Draw
2026-05-18T10:04:00,8I,106.4,77.4,1.37,150.6,159.2,20.9,-0.6,6897,109,6.7,53.7,Straight
2026-05-18T10:05:00,8I,105.5,76.1,1.39,143.2,149.9,17.9,-3.6,7161,116,6.9,49.8,Straight
2026-05-18T10:00:00,9I,102.2,74,1.38,134.6,140,20.1,0.2,7303,115,6.9,53,Draw
2026-05-18T10:01:00,9I,103.5,75.7,1.37,137,142.2,20.9,-1.2,7889,118,7,48.6,Draw
2026-05-18T10:02:00,9I,104.4,74.3,1.41,146.3,150.8,19.4,0.6,7450,132,7.3,51.4,Straight
2026-05-18T10:03:00,9I,99.8,73.5,1.36,150.1,151.9,21,-1.7,7413,124,7.1,50.6,Draw
2026-05-18T10:04:00,9I,101,74.5,1.36,137.6,142.6,21.1,-0.8,7665,132,7.3,50.8,Straight
2026-05-18T10:05:00,9I,101.8,75.8,1.34,131.8,135.6,20.5,-3.8,7329,127,7.2,51.6,Straight
2026-05-18T10:00:00,9I,103.7,74.1,1.40,130.3,138.7,19.5,-0.7,7729,137,7.4,51,Draw
2026-05-18T10:01:00,9I,99,73.8,1.34,140.2,146.5,21.4,-2.7,7885,111,6.8,47.5,Draw
2026-05-18T10:02:00,9I,101.5,75.4,1.35,136.3,140.7,20.4,0.2,7469,124,7.1,54,Straight
2026-05-18T10:03:00,9I,104.7,77.2,1.36,139.1,145.8,21.6,-0.3,7426,124,7.1,48.4,Draw
2026-05-18T10:04:00,9I,100.9,74.1,1.36,139.5,143.1,21,1.1,7611,130,7.3,51.7,Fade
2026-05-18T10:00:00,PW,95.8,70.9,1.35,128.6,136.6,22.4,1.5,7889,128,7.2,54.7,Straight
2026-05-18T10:01:00,PW,97.4,71.6,1.36,124.4,128.4,22.9,1.5,8780,126,7.2,53,Draw
2026-05-18T10:02:00,PW,95.9,72.5,1.32,126.6,134.7,22.9,1.6,7488,129,7.2,52.8,Straight
2026-05-18T10:03:00,PW,99,72.6,1.36,125.1,130.8,23.3,-1.8,8599,119,7,53.1,Straight
2026-05-18T10:04:00,PW,100.8,73.4,1.37,127.9,132.9,23.2,4.2,7852,136,7.4,54.4,Straight
2026-05-18T10:05:00,PW,98,72.8,1.35,125.1,130.5,24.6,-0.4,8331,129,7.2,56.2,Draw
2026-05-18T10:00:00,PW,99.5,72.3,1.38,130.7,136.1,23.2,-3.7,8426,130,7.3,55.8,Straight
2026-05-18T10:01:00,PW,97.5,71.6,1.36,121.7,129,24,3,8661,127,7.2,54.8,Straight
2026-05-18T10:02:00,PW,96.4,72.3,1.33,131.1,133.2,22.9,-1.7,7697,132,7.3,52.5,Straight
2026-05-18T10:03:00,PW,95.9,72.5,1.32,130.8,134,20.4,-3.2,7868,111,6.8,54.7,Straight
2026-05-18T10:00:00,52,87.6,69.7,1.26,102,109.4,24.6,-1.3,8336,123,7.1,58.3,Draw
2026-05-18T10:01:00,52,92.6,69.7,1.33,110.6,117.4,23.7,0.9,9029,121,7,55.3,Draw
2026-05-18T10:02:00,52,90.1,67.7,1.33,103.8,112.8,26.3,0,8419,137,7.4,52.8,Straight
2026-05-18T10:03:00,52,92.2,69.9,1.32,109.1,114.9,24.2,0.5,8854,128,7.2,57.1,Straight
2026-05-18T10:04:00,52,90.7,68.3,1.33,102,108.2,24.9,-0.1,8474,124,7.1,52.7,Straight
2026-05-18T10:05:00,52,89.8,66.9,1.34,103.5,106.6,25.3,0.9,9088,125,7.1,55,Straight
2026-05-18T10:00:00,52,87.7,67.3,1.30,98.2,105.8,24.6,1,9231,124,7.1,53.7,Draw
2026-05-18T10:01:00,52,94.5,67.1,1.41,111.5,115.4,24.2,0.9,8257,129,7.2,51.6,Straight
2026-05-18T10:02:00,52,90.6,68.7,1.32,106.4,111,25.7,3.3,9035,130,7.3,57.2,Straight
2026-05-18T10:00:00,56,82.3,65.3,1.26,92.8,100,28,-0.4,9825,122,7.1,61.8,Straight
2026-05-18T10:01:00,56,79.4,63.7,1.25,84.6,90.7,25.8,0.6,9417,126,7.2,58.6,Draw
2026-05-18T10:02:00,56,81.6,65.2,1.25,87.3,96,24.5,-3.4,9938,119,7,56.8,Straight
2026-05-18T10:03:00,56,83.3,65.6,1.27,96.1,101.3,27.4,1.9,9218,133,7.3,57.1,Draw
2026-05-18T10:04:00,56,81.7,63.1,1.29,88.7,94.7,27.3,-0.4,9565,125,7.1,56.9,Draw
2026-05-18T10:05:00,56,82.6,62.7,1.32,98.2,105.5,27.9,0.1,9464,136,7.4,59.1,Straight
2026-05-18T10:00:00,56,83.1,62.8,1.32,86.2,92,28.1,4.1,9569,133,7.3,54.3,Straight
2026-05-18T10:01:00,56,79.7,63.9,1.25,85.3,92.5,27.3,3.1,9342,123,7.1,59.4,Straight
2026-05-18T10:00:00,60,72.2,57.5,1.26,74.4,80,30.1,1,10050,138,7.5,60.3,Straight
2026-05-18T10:01:00,60,70.7,59,1.20,69.3,70.8,31.3,-1.1,10574,131,7.3,62.5,Draw
2026-05-18T10:02:00,60,72,56.1,1.28,76.2,83.5,32.9,-0.5,9691,131,7.3,59.9,Straight
2026-05-18T10:03:00,60,73.2,57.6,1.27,76.9,82.9,30.7,0.7,10003,134,7.4,61.9,Straight
2026-05-18T10:04:00,60,70.1,58,1.21,76,83.2,29.4,1.8,10722,135,7.4,58.4,Straight
2026-05-18T10:05:00,60,74,59.9,1.24,68.2,76.1,29.2,-1.2,10084,134,7.4,60.9,Straight
2026-05-18T10:00:00,60,71.6,57,1.26,77.5,82.1,29.7,-2.3,10515,123,7.1,59.5,Straight
2026-06-08T11:00:00,DR,162.5,109.7,1.48,278,302,13.9,0.3,2241,106,6.7,42.3,Straight
2026-06-08T11:01:00,DR,161.9,111.4,1.45,252.3,269.2,13.7,0.1,2278,116,6.9,46.9,Draw
2026-06-08T11:02:00,DR,160.6,111.8,1.44,263.8,286.3,14.8,-2.6,1952,101,6.5,40.3,Draw
2026-06-08T11:03:00,DR,162.4,110.7,1.47,261.2,285.9,12.6,0.6,2637,112,6.8,43.7,Draw
2026-06-08T11:04:00,DR,161.8,110,1.47,261.4,284.3,13.5,1.8,3118,114,6.9,47.5,Straight
2026-06-08T11:05:00,DR,161.1,108.9,1.48,270.9,295.1,13.9,2.1,2586,116,6.9,43.3,Draw
2026-06-08T11:00:00,DR,163.2,111,1.47,259.1,282.8,14.1,1.6,2661,117,6.9,45.2,Straight
2026-06-08T11:01:00,DR,164.9,108.9,1.51,275.5,295.9,14.1,-4.3,2034,116,6.9,44.4,Straight
2026-06-08T11:02:00,DR,162.6,112.8,1.44,275.9,294.5,14.5,0.9,2724,104,6.6,42.2,Straight
2026-06-08T11:03:00,DR,160.1,111.8,1.43,276.3,295.2,11.8,-1.2,2670,119,7,43.4,Straight
2026-06-08T11:04:00,DR,162.9,111.1,1.47,274.4,297.1,13.5,0.6,2436,117,6.9,44.5,Draw
2026-06-08T11:05:00,DR,161.3,107.8,1.50,267.9,288.5,13.5,2.8,2913,104,6.6,46.7,Draw
2026-06-08T11:00:00,3W,151.4,105.2,1.44,231.2,236.4,12.6,-0.4,2950,125,7.1,40.1,Straight
2026-06-08T11:01:00,3W,151.8,104.4,1.45,231.4,237.1,12.4,1.3,3838,107,6.7,45.2,Straight
2026-06-08T11:02:00,3W,151,102.2,1.48,238.7,242.8,10.8,-3.8,2864,96,6.4,42.7,Straight
2026-06-08T11:03:00,3W,151.4,104.1,1.45,229.4,232.6,10,-0.6,3094,109,6.7,41.5,Straight
2026-06-08T11:04:00,3W,150.6,102.8,1.47,234.7,237.2,11.5,-2.1,3463,108,6.7,41.6,Straight
2026-06-08T11:05:00,3W,154.2,102.7,1.50,238.8,246.4,11.4,-1.4,2965,110,6.8,43.4,Straight
2026-06-08T11:00:00,3W,154.2,103,1.50,233.5,241.6,12.9,0.8,3364,103,6.6,39.9,Draw
2026-06-08T11:01:00,3W,152.3,103,1.48,233.7,239.8,10.4,0,3229,108,6.7,39.4,Straight
2026-06-08T11:02:00,3W,150,105.1,1.43,238.8,242.3,12.8,-3.1,3011,125,7.1,42.5,Straight
2026-06-08T11:03:00,3W,151.3,102.9,1.47,234.4,237.7,12.3,-0.2,3431,115,6.9,42.5,Straight
2026-06-08T11:00:00,4I,126.2,90.2,1.40,193.6,201.1,13.9,-0.5,4702,117,6.9,43.6,Straight
2026-06-08T11:01:00,4I,124.2,85.7,1.45,187.7,194.2,15.8,-0.7,5108,111,6.8,44.1,Straight
2026-06-08T11:02:00,4I,121.9,89.5,1.36,193,200.1,11.8,-1.8,5273,121,7,41.8,Straight
2026-06-08T11:03:00,4I,123.1,89,1.38,181.4,185.7,15.8,0,4647,118,7,40.8,Straight
2026-06-08T11:04:00,4I,123.9,87.1,1.42,196.3,197.1,13.9,1.4,4389,118,7,43.1,Straight
2026-06-08T11:05:00,4I,123.8,89.4,1.39,197.7,201.1,15.1,-1.8,4706,114,6.9,47.8,Straight
2026-06-08T11:00:00,4I,124.2,88.2,1.41,182.7,187.4,16.9,-0.1,4866,109,6.7,44.5,Straight
2026-06-08T11:01:00,4I,126.4,89.1,1.42,198.3,204,14.2,1.6,4782,114,6.9,43.5,Straight
2026-06-08T11:02:00,4I,125.5,88.5,1.42,197.5,201.6,14.5,0,5085,109,6.7,44.4,Straight
2026-06-08T11:03:00,4I,121.6,88.4,1.38,186.6,193.7,12.9,1.3,4536,103,6.6,44.2,Straight
2026-06-08T11:04:00,4I,122,88.2,1.38,195.1,199.4,13.9,0,4553,112,6.8,45.6,Straight
2026-06-08T11:00:00,5I,120.3,85.4,1.41,164.5,171,17.7,0.2,6519,114,6.9,45.8,Draw
2026-06-08T11:01:00,5I,119.2,86,1.39,172,177.1,17.9,-1.4,6711,126,7.2,45.3,Straight
2026-06-08T11:02:00,5I,119.6,83.7,1.43,163.7,170.6,19.9,0,6670,135,7.4,51.4,Straight
2026-06-08T11:03:00,5I,121.2,86.2,1.41,162.5,166.8,17.4,2.7,6185,124,7.1,45.9,Straight
2026-06-08T11:04:00,5I,120.6,86,1.40,157.1,166.6,18.3,-0.3,6162,110,6.8,47.5,Draw
2026-06-08T11:05:00,5I,120.2,85.4,1.41,178,182.5,16.6,0.7,6353,147,7.7,48.2,Straight
2026-06-08T11:00:00,5I,120.5,86.5,1.39,158.7,166.2,17.3,0.8,7006,119,7,49.8,Straight
2026-06-08T11:01:00,5I,120,85.8,1.40,159.9,164.9,17.6,1.8,5830,108,6.7,49.3,Straight
2026-06-08T11:02:00,5I,117.7,84.5,1.39,168.9,177.3,16.1,-0.6,6580,114,6.9,48,Straight
2026-06-08T11:03:00,5I,121.8,87.7,1.39,179,182.5,18.3,-2.6,6708,123,7.1,45.9,Draw
2026-06-08T11:04:00,5I,118.7,84.9,1.40,169.5,175.2,18.2,-2.9,6516,126,7.2,45.5,Draw
2026-06-08T11:05:00,5I,120.1,86.5,1.39,169.6,175.9,17.1,1.4,5811,104,6.6,49.7,Fade
2026-06-08T11:00:00,5I,121.4,85.8,1.41,173,179.3,18.7,-0.3,6239,115,6.9,49.9,Straight
2026-06-08T11:01:00,5I,116.9,85.9,1.36,172.9,180.1,18,-1.4,6592,109,6.7,47.8,Straight
2026-06-08T11:00:00,6I,117,82.8,1.41,179.4,183.4,15.1,1.1,5715,124,7.1,42.4,Straight
2026-06-08T11:01:00,6I,116.9,83.6,1.40,188.8,194.7,16,2.4,5468,124,7.1,47.5,Straight
2026-06-08T11:02:00,6I,116.7,85.2,1.37,177.6,183.4,14.9,0.9,4755,98,6.5,48.4,Straight
2026-06-08T11:03:00,6I,114.5,85.1,1.35,177,184.3,15.8,0.9,5192,113,6.8,49.5,Straight
2026-06-08T11:04:00,6I,118.3,83.7,1.41,187.9,199.2,16.7,-2.9,5620,114,6.9,46.5,Straight
2026-06-08T11:05:00,6I,117.8,84.8,1.39,166.8,175.7,16.5,-0.6,6143,111,6.8,47.4,Straight
2026-06-08T11:00:00,6I,116,82.4,1.41,191.7,197.2,16.4,0.2,5419,117,6.9,45.8,Straight
2026-06-08T11:01:00,6I,116.1,84.3,1.38,178.8,186.3,15.7,-1.6,5618,119,7,45.7,Straight
2026-06-08T11:02:00,6I,117,83.6,1.40,195.7,203.2,16.2,2,5223,110,6.8,47.3,Draw
2026-06-08T11:03:00,6I,114.3,85.4,1.34,180.6,184.4,15,-0.9,5279,115,6.9,46.3,Straight
2026-06-08T11:04:00,6I,119.6,84.8,1.41,176.2,182.4,16.8,1.4,5609,96,6.4,48.6,Draw
2026-06-08T11:05:00,6I,116.2,82,1.42,165.5,170.7,14.4,-3.4,5510,111,6.8,48.9,Straight
2026-06-08T11:00:00,6I,118,82.3,1.43,177.9,185.8,17.3,2.7,5345,99,6.5,43.6,Draw
2026-06-08T11:00:00,7I,113.2,82.1,1.38,160,165.1,16.9,0.8,6518,126,7.2,47.8,Straight
2026-06-08T11:01:00,7I,111.6,80.2,1.39,179,183.7,18.2,1.8,6447,123,7.1,47.6,Straight
2026-06-08T11:02:00,7I,114.8,80.8,1.42,173.6,185.4,18.9,-1.2,5759,109,6.7,47.7,Straight
2026-06-08T11:03:00,7I,110.3,80.1,1.38,164.1,169.1,15.2,2,6156,111,6.8,45.6,Straight
2026-06-08T11:04:00,7I,112.2,82.2,1.36,170.8,176.1,17,-0.2,5823,119,7,40.7,Draw
2026-06-08T11:05:00,7I,113.3,80.9,1.40,169.9,177,17.6,-0.1,6525,109,6.7,45.7,Straight
2026-06-08T11:00:00,7I,114.3,79.4,1.44,174.4,186.3,16.7,-2.5,5943,105,6.6,47.1,Straight
2026-06-08T11:01:00,7I,115.9,83.3,1.39,163.3,169.8,17.2,1.3,5620,119,7,49.8,Straight
2026-06-08T11:02:00,7I,114.3,80.4,1.42,173.3,177.8,17.8,-0.2,5490,113,6.8,48.5,Draw
2026-06-08T11:03:00,7I,111.1,80.3,1.38,165.5,172.7,15.8,-1.1,5922,119,7,49.8,Draw
2026-06-08T11:04:00,7I,113.1,81.5,1.39,162.9,170.3,18.5,2.4,6397,117,6.9,46.7,Fade
2026-06-08T11:05:00,7I,113.4,82.1,1.38,172.4,177.7,17.7,-0.1,5855,116,6.9,49.1,Straight
2026-06-08T11:00:00,7I,112.5,79.3,1.42,169,174.7,16.4,-0.6,6184,120,7,46.6,Straight
2026-06-08T11:00:00,8I,108.4,79,1.37,152,158.7,17.5,-4.2,6092,121,7,48.4,Straight
2026-06-08T11:01:00,8I,107.6,78.3,1.37,150,156.6,17.6,0.5,5867,105,6.6,50.2,Straight
2026-06-08T11:02:00,8I,108,78.2,1.38,162.2,169.1,20.2,-1.2,7091,115,6.9,46.5,Straight
2026-06-08T11:03:00,8I,110.3,76.7,1.44,146,154,18.4,-1.7,7099,97,6.4,48,Straight
2026-06-08T11:04:00,8I,107.9,75.4,1.43,147.8,151.1,20.7,1.3,7024,113,6.8,47.9,Straight
2026-06-08T11:05:00,8I,108.7,77.9,1.40,147.2,150,19.8,-2.5,6724,128,7.2,50.1,Straight
2026-06-08T11:00:00,8I,107.6,77.7,1.39,155.1,158.2,18.6,-1.4,6793,122,7.1,47.4,Straight
2026-06-08T11:01:00,8I,105.6,79,1.34,147.6,156,19.1,-1.2,6856,114,6.9,49.2,Straight
2026-06-08T11:02:00,8I,108.3,79.3,1.37,144.7,153.2,19.6,-2.6,6931,110,6.8,49.5,Draw
2026-06-08T11:03:00,8I,107.9,78.4,1.38,160.2,164.5,19.4,1.3,6464,111,6.8,51.6,Draw
2026-06-08T11:00:00,9I,102,74.8,1.36,141.9,146,23.5,-2.9,7452,118,7,50.7,Straight
2026-06-08T11:01:00,9I,103.7,74.7,1.39,141.7,148.1,20.4,2.5,7640,147,7.7,49.7,Draw
2026-06-08T11:02:00,9I,105.9,77.1,1.37,133.9,138.6,20.8,-0.1,7542,118,7,52,Straight
2026-06-08T11:03:00,9I,105.7,74.9,1.41,133.3,141.1,20.5,0.4,7465,116,6.9,51.4,Draw
2026-06-08T11:04:00,9I,104.3,74.5,1.40,139.8,146,21.7,0.5,7175,113,6.8,51.7,Straight
2026-06-08T11:05:00,9I,102.1,73.5,1.39,138.7,146.3,21.8,-1.1,7155,126,7.2,47.6,Draw
