Date,Club Name,Club Type,Ball Speed,Club Head Speed,Smash Factor,Carry Distance,Total Distance,Roll Distance,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Apex Height,Descent Angle
2026-05-18T10:04:00,5 Iron,Iron,124.4,84.8,1.47,180.5,184.3,3.8,17,-0.8,6892,1.2,105,48.4
2026-05-18T10:05:00,5 Iron,Iron,119.6,84.4,1.42,164.5,170.3,5.8,18,-1.8,7051,2.7,115,49.4
2026-05-18T10:00:00,5 Iron,Iron,120.9,87.8,1.38,163.8,167.5,3.7,17.3,-0.9,7105,1.4,118,48.6
2026-05-18T10:01:00,5 Iron,Iron,121.2,85.9,1.41,162.3,165.5,3.2,14.6,3,6369,-4.5,120,49.9
2026-05-18T10:02:00,5 Iron,Iron,120.3,85.1,1.41,161.8,165.2,3.4,18.4,3.6,5947,-5.4,116,47.6
2026-05-18T10:03:00,5 Iron,Iron,119.3,86.8,1.37,169.6,176,6.4,19.9,-1.8,6265,2.7,126,49
2026-05-18T10:00:00,6 Iron,Iron,117.4,86.4,1.36,170.6,174.9,4.3,14.2,-1.6,5195,2.4,128,44.8
2026-05-18T10:01:00,6 Iron,Iron,115.8,82.4,1.41,182,187.3,5.3,14.7,-1.3,5626,2,114,47.7
2026-05-18T10:02:00,6 Iron,Iron,116.9,84.6,1.38,175.9,181.5,5.6,14.8,-1.5,5609,2.3,109,46.2
2026-05-18T10:03:00,6 Iron,Iron,115.8,83.4,1.39,192.5,197.1,4.6,15.5,-1.3,5816,2,119,47
2026-05-18T10:04:00,6 Iron,Iron,115.7,85.3,1.36,179.1,184.4,5.3,16.6,1,5299,-1.5,110,47.8
2026-05-18T10:05:00,6 Iron,Iron,117.4,82.5,1.42,175,182.1,7.1,16.5,-2.4,5431,3.6,116,44.9
2026-05-18T10:00:00,6 Iron,Iron,115.5,83.9,1.38,176.9,182.4,5.5,16.5,-2.4,5506,3.6,116,43.1
2026-05-18T10:01:00,6 Iron,Iron,117.4,84.6,1.39,171.6,178,6.4,16.2,-0.7,4983,1,104,47.8
2026-05-18T10:02:00,6 Iron,Iron,118.5,86.1,1.38,181.5,183.2,1.7,16.7,1.3,5433,-1.9,120,49.7
2026-05-18T10:03:00,6 Iron,Iron,115.1,81.8,1.41,195.4,199.7,4.3,14.9,1.4,4981,-2.1,104,44.2
2026-05-18T10:04:00,6 Iron,Iron,116.9,83.5,1.40,176.3,180.1,3.8,16,1.3,5149,-1.9,103,47.3
2026-05-18T10:05:00,6 Iron,Iron,116.1,84.4,1.38,188,193.9,5.9,15,-0.5,6318,0.8,110,48.3
2026-05-18T10:00:00,6 Iron,Iron,117.4,82.8,1.42,171.2,180.1,8.9,16.3,-3.1,5249,4.7,102,49.3
2026-05-18T10:01:00,6 Iron,Iron,118.5,81.2,1.46,183.1,188.5,5.4,16.9,0.8,5809,-1.2,130,40.1
2026-05-18T10:02:00,6 Iron,Iron,114.6,82.7,1.39,166.5,175.1,8.6,14.8,-0.1,6049,0.2,117,50
2026-05-18T10:00:00,7 Iron,Iron,114.6,80.4,1.43,164.4,167.6,3.2,16.5,-4.1,5420,6.1,116,48.3
2026-05-18T10:01:00,7 Iron,Iron,113.9,80.3,1.42,171.3,178.1,6.8,16.5,5.2,6173,-7.8,115,48.9
2026-05-18T10:02:00,7 Iron,Iron,113.5,81.1,1.40,160.1,167,6.9,20.8,-1,5766,1.5,114,48.5
2026-05-18T10:03:00,7 Iron,Iron,115.6,82.3,1.40,158.1,162.2,4.1,17.9,3.2,6127,-4.8,127,49.9
2026-05-18T10:04:00,7 Iron,Iron,113.1,78.8,1.44,167.7,171.8,4.1,16,0.2,5920,-0.3,130,47
2026-05-18T10:05:00,7 Iron,Iron,115.6,81.9,1.41,173.5,181.1,7.6,18.5,1.5,5540,-2.2,117,47.9
2026-05-18T10:00:00,7 Iron,Iron,114.1,79.7,1.43,173.7,179.2,5.5,18.7,-1,5710,1.5,132,49.7
2026-05-18T10:01:00,7 Iron,Iron,113.5,80.2,1.42,166.6,170,3.4,19.1,1,6402,-1.5,120,46.8
2026-05-18T10:02:00,7 Iron,Iron,110.5,81.7,1.35,165.7,171,5.3,15.6,0.9,5550,-1.3,122,51.2
2026-05-18T10:03:00,7 Iron,Iron,113.8,81.5,1.40,176.8,183,6.2,16.4,3.2,6326,-4.8,118,46.4
2026-05-18T10:04:00,7 Iron,Iron,114.1,81.6,1.40,162.4,168.1,5.7,18.7,-0.9,6162,1.4,125,46.1
2026-05-18T10:05:00,7 Iron,Iron,115.1,80.9,1.42,164.6,170.2,5.6,18.4,1,5717,-1.5,130,46.6
2026-05-18T10:00:00,7 Iron,Iron,113.6,80.1,1.42,166.9,172.6,5.7,17.3,0.1,5846,-0.2,113,47.1
2026-05-18T10:01:00,7 Iron,Iron,112.9,82.8,1.36,158.2,165.4,7.2,18.5,1.7,5271,-2.5,122,48.4
2026-05-18T10:02:00,7 Iron,Iron,111.3,81.2,1.37,167.4,174.4,7,19.3,0.3,6567,-0.4,127,46.1
2026-05-18T10:00:00,8 Iron,Iron,106.2,76.6,1.39,153.9,161.4,7.5,18,1.4,6767,-2.1,116,45.9
2026-05-18T10:01:00,8 Iron,Iron,109.9,77.2,1.42,147,154,7,18.7,2.7,6823,-4.1,117,47.8
2026-05-18T10:02:00,8 Iron,Iron,110.1,76.6,1.44,156.4,158,1.6,18.9,2.6,6321,-3.9,116,48.1
2026-05-18T10:03:00,8 Iron,Iron,108.5,77.4,1.40,144.2,150.8,6.6,20.3,-0.5,7572,0.8,117,54.6
2026-05-18T10:04:00,8 Iron,Iron,106.4,78.6,1.35,143.3,146.7,3.4,18.2,-1.1,6261,1.7,117,52.5
2026-05-18T10:05:00,8 Iron,Iron,106.6,79.8,1.34,151.3,157.3,6,20.4,-2.3,6276,3.5,111,50.3
2026-05-18T10:00:00,8 Iron,Iron,108.7,77.2,1.41,146,149,3,17.9,1.3,6973,-1.9,118,50.3
2026-05-18T10:01:00,8 Iron,Iron,107.2,78.1,1.37,154.4,162.4,8,17.5,1,6999,-1.5,112,46.6
2026-05-18T10:02:00,8 Iron,Iron,109.2,75.8,1.44,157.4,165,7.6,18.8,2.2,6496,-3.3,124,50.2
2026-05-18T10:03:00,8 Iron,Iron,107.2,78.6,1.36,146.5,152.4,5.9,19.1,1,7175,-1.5,115,49.3
2026-05-18T10:04:00,8 Iron,Iron,110.7,77.5,1.43,148.1,153,4.9,18.2,-1.7,6277,2.6,122,51.1
2026-05-18T10:05:00,8 Iron,Iron,108.1,78.1,1.38,148.1,155.6,7.5,17.7,2.8,6469,-4.2,129,46.3
2026-05-18T10:00:00,9 Iron,Iron,103.7,76,1.36,141.9,146.8,4.9,20.6,1.4,7485,-2.1,132,51.2
2026-05-18T10:01:00,9 Iron,Iron,104.6,74.1,1.41,132,136.7,4.7,21.1,-0.6,7590,0.9,130,51.3
2026-05-18T10:02:00,9 Iron,Iron,101.5,74.6,1.36,143.6,149.8,6.2,18.7,3.4,7409,-5.1,117,50.2
2026-05-18T10:03:00,9 Iron,Iron,105.4,74.7,1.41,136.9,142.5,5.6,22,1.1,7432,-1.6,124,51.2
2026-05-18T10:04:00,9 Iron,Iron,104.6,72.9,1.44,141.1,149.1,8,20.3,0.2,7864,-0.3,123,48.8
2026-05-18T10:05:00,9 Iron,Iron,102.4,76.3,1.34,141.2,148,6.8,20.7,-1.3,7492,2,135,46.7
2026-05-18T10:00:00,9 Iron,Iron,105,75.8,1.39,130.9,137.1,6.2,22.1,-0.3,7095,0.5,138,49.2
2026-05-18T10:01:00,9 Iron,Iron,102.7,74.2,1.38,144.7,151.3,6.6,22.2,1.1,7157,-1.6,108,51.7
2026-05-18T10:02:00,9 Iron,Iron,102.7,76.2,1.35,140.2,148.4,8.2,20.1,1.3,7549,-1.9,117,50.7
2026-05-18T10:03:00,9 Iron,Iron,103.6,74.6,1.39,145.5,150.7,5.2,20.7,-0.3,6697,0.5,129,51
2026-05-18T10:04:00,9 Iron,Iron,105.2,75.5,1.39,133.2,138,4.8,20.5,-2.5,7916,3.8,115,49.8
2026-05-18T10:00:00,Pitching Wedge,Iron,96.8,74.2,1.30,128.3,132.8,4.5,21.8,2.5,8308,-3.7,122,55.1
2026-05-18T10:01:00,Pitching Wedge,Iron,97.3,73,1.33,128.3,133,4.7,22.9,-1.5,7693,2.3,132,55.2
2026-05-18T10:02:00,Pitching Wedge,Iron,96.8,72.4,1.34,122.7,131,8.3,24.8,1.4,7643,-2.1,142,51.9
2026-05-18T10:03:00,Pitching Wedge,Iron,97.7,72.8,1.34,127,133.7,6.7,22.8,0.1,8210,-0.2,126,54.2
2026-05-18T10:04:00,Pitching Wedge,Iron,99,71.8,1.38,121.7,125.2,3.5,22.7,-1.2,8343,1.8,125,53.8
2026-05-18T10:05:00,Pitching Wedge,Iron,97.3,72.8,1.34,122.2,128.6,6.4,23.8,-1.1,8868,1.7,126,52.5
2026-05-18T10:00:00,Pitching Wedge,Iron,99.3,73,1.36,123.3,129.1,5.8,23.4,-0.4,8853,0.6,129,52.1
2026-05-18T10:01:00,Pitching Wedge,Iron,98,71.6,1.37,124,133.8,9.8,22.7,0.4,7974,-0.6,117,50
2026-05-18T10:02:00,Pitching Wedge,Iron,97.1,71.5,1.36,122.6,128.6,6,22.1,-1.1,8233,1.7,115,55.1
2026-05-18T10:03:00,Pitching Wedge,Iron,98.9,73.2,1.35,124.2,130,5.8,24.5,-1.8,8559,2.7,129,57.9
2026-05-18T10:00:00,Gap Wedge,Wedge,90,67.9,1.33,109.6,118.6,9,24.8,-0.5,8888,0.8,123,55
2026-05-18T10:01:00,Gap Wedge,Wedge,92.1,67.9,1.36,107.5,113.9,6.4,26.5,0.9,9146,-1.3,124,54
2026-05-18T10:02:00,Gap Wedge,Wedge,91.1,66.5,1.37,115.1,121.6,6.5,24,-0.4,8643,0.6,115,57.7
2026-05-18T10:03:00,Gap Wedge,Wedge,89.5,68,1.32,114.7,123.1,8.4,24.3,-4,8934,6,115,59.5
2026-05-18T10:04:00,Gap Wedge,Wedge,91.2,68.3,1.33,111.1,120.1,9,24.2,1.7,9116,-2.5,133,56.3
2026-05-18T10:05:00,Gap Wedge,Wedge,90.4,69,1.31,95.9,99.9,4,25.4,2.2,8651,-3.3,127,54.9
2026-05-18T10:00:00,Gap Wedge,Wedge,90.5,64.9,1.39,113.4,117.3,3.9,26.6,-2.3,8756,3.5,141,51.4
2026-05-18T10:01:00,Gap Wedge,Wedge,93,66.7,1.40,107.2,113.4,6.2,26,-4.3,8447,6.5,113,57.8
2026-05-18T10:02:00,Gap Wedge,Wedge,89.4,68.3,1.31,106.4,113.3,6.9,24.4,-0.4,9081,0.6,138,54.9
2026-05-18T10:00:00,Sand Wedge,Wedge,82.1,64.2,1.28,90.4,93.4,3,27.5,0.2,9352,-0.3,134,57.7
2026-05-18T10:01:00,Sand Wedge,Wedge,80.3,63.5,1.26,91.2,101,9.8,26.6,2.7,10206,-4.1,142,54.4
2026-05-18T10:02:00,Sand Wedge,Wedge,82,63.8,1.29,85.1,90.2,5.1,26.5,-0.1,9561,0.2,130,58.9
2026-05-18T10:03:00,Sand Wedge,Wedge,84,65.5,1.28,84.4,88.3,3.9,27.6,-1.5,9215,2.3,131,60.3
2026-05-18T10:04:00,Sand Wedge,Wedge,81.9,63.2,1.30,86.1,90.8,4.7,25.9,0.1,9437,-0.2,135,57.5
2026-05-18T10:05:00,Sand Wedge,Wedge,77.9,63.8,1.22,88.2,97.5,9.3,29.4,1.5,9719,-2.2,125,56.7
2026-05-18T10:00:00,Sand Wedge,Wedge,80.4,63.4,1.27,92.6,101.2,8.6,28.9,-0.6,9597,0.9,121,61.7
2026-05-18T10:01:00,Sand Wedge,Wedge,81.3,63.3,1.28,90.2,93.1,2.9,25.6,2.1,8907,-3.2,122,59.3
2026-05-18T10:00:00,Lob Wedge,Wedge,69.3,57.7,1.20,75.8,84,8.2,30.2,1.4,10346,-2.1,129,58.9
2026-05-18T10:01:00,Lob Wedge,Wedge,71.6,56.9,1.26,69.7,74.2,4.5,29.7,2,10431,-3,135,60.1
2026-05-18T10:02:00,Lob Wedge,Wedge,74.2,57.8,1.28,66.7,72.6,5.9,30.6,1.7,10321,-2.5,132,58.8
2026-05-18T10:03:00,Lob Wedge,Wedge,70.2,58.5,1.20,71.9,81.2,9.3,30.4,1.9,10854,-2.8,130,60.3
2026-05-18T10:04:00,Lob Wedge,Wedge,73.1,57.1,1.28,66,72.4,6.4,31.3,-0.3,10303,0.5,149,60.7
2026-05-18T10:05:00,Lob Wedge,Wedge,68.8,56.5,1.22,86.1,87.9,1.8,30,-1.7,10213,2.6,138,59.6
2026-05-18T10:00:00,Lob Wedge,Wedge,74,57.1,1.30,75.3,80.4,5.1,29.9,1.5,10658,-2.2,136,60.8
2026-06-08T11:00:00,Driver,Driver,163.9,109.9,1.49,264,283.6,19.6,12.5,-2.5,3352,3.8,104,44.8
2026-06-08T11:01:00,Driver,Driver,161.2,109.3,1.47,265.6,288.1,22.5,11.6,2.8,2207,-4.2,113,46.6
2026-06-08T11:02:00,Driver,Driver,159.7,110.6,1.44,276.5,298.1,21.6,14.4,2.4,2343,-3.6,107,47.4
2026-06-08T11:03:00,Driver,Driver,161.8,110.9,1.46,267.4,284,16.6,13.6,-1.9,2142,2.8,121,44.3
2026-06-08T11:04:00,Driver,Driver,162.2,108.4,1.50,263.2,288.2,25,11.8,-3.4,2122,5.1,101,42.8
2026-06-08T11:05:00,Driver,Driver,162.5,110.2,1.47,258.1,280.4,22.3,14.3,0.7,2406,-1,122,45.3
2026-06-08T11:00:00,Driver,Driver,161.7,108.7,1.49,263.7,285.9,22.2,14.7,1.3,2675,-1.9,117,44.2
2026-06-08T11:01:00,Driver,Driver,162.5,108.4,1.50,266.1,291.7,25.6,14.4,0.6,2811,-0.9,99,42
2026-06-08T11:02:00,Driver,Driver,162,111.5,1.45,272.8,295.6,22.8,14.1,-0.7,2191,1,104,47.8
2026-06-08T11:03:00,Driver,Driver,162.8,108.2,1.50,254.3,273.5,19.2,12.6,2,2283,-3,116,44.5
2026-06-08T11:04:00,Driver,Driver,163.6,109.7,1.49,274.9,296.2,21.3,13.7,-0.6,3166,0.9,124,43.3
2026-06-08T11:05:00,Driver,Driver,160.5,110.9,1.45,258.8,282.1,23.3,13.5,-1.5,2678,2.3,114,43.7
2026-06-08T11:00:00,3 Wood,Wood,148.9,103.8,1.43,239.5,246.6,7.1,13.1,-0.2,3414,0.3,114,42.9
2026-06-08T11:01:00,3 Wood,Wood,152.6,103.8,1.47,246.3,253,6.7,12.5,-1,3428,1.5,107,40.2
2026-06-08T11:02:00,3 Wood,Wood,152.1,106.1,1.43,230.7,237.5,6.8,11.8,3.8,2948,-5.7,118,40
2026-06-08T11:03:00,3 Wood,Wood,152.3,103.4,1.47,238,245,7,13.4,-1.4,3929,2.1,100,41.8
2026-06-08T11:04:00,3 Wood,Wood,152,104.8,1.45,234.8,240.2,5.4,13.6,-0.4,3331,0.6,112,45.2
2026-06-08T11:05:00,3 Wood,Wood,153.5,101.1,1.52,233.1,239.6,6.5,12.9,1.3,3599,-1.9,110,43
2026-06-08T11:00:00,3 Wood,Wood,149.3,104.9,1.42,233.8,241.2,7.4,12.8,4.6,3688,-6.9,101,41.3
2026-06-08T11:01:00,3 Wood,Wood,154,105.2,1.46,233.4,239.9,6.5,12.6,1.8,2994,-2.7,112,41.3
2026-06-08T11:02:00,3 Wood,Wood,151.4,105.2,1.44,238.3,244.1,5.8,12.3,-0.1,2827,0.2,92,40.3
2026-06-08T11:03:00,3 Wood,Wood,151.7,105.8,1.43,244,252,8,11.6,-2.9,3040,4.4,112,40.1
2026-06-08T11:00:00,4 Iron,Iron,121.9,87.1,1.40,187.8,191.6,3.8,15.4,-1.6,4289,2.4,104,42.1
2026-06-08T11:01:00,4 Iron,Iron,126.2,87.4,1.44,180.3,185,4.7,13.8,-1,4772,1.5,125,45.9
2026-06-08T11:02:00,4 Iron,Iron,121.7,88.3,1.38,192.7,200,7.3,16.2,-2.5,5085,3.8,121,45.3
2026-06-08T11:03:00,4 Iron,Iron,122.8,89.2,1.38,192.5,197,4.5,14.8,-1.7,4987,2.6,112,44.1
2026-06-08T11:04:00,4 Iron,Iron,126,89.8,1.40,183.3,187.1,3.8,14.5,-2,5408,3,113,44.1
2026-06-08T11:05:00,4 Iron,Iron,124.3,90.8,1.37,191.1,195.4,4.3,14.7,-0.3,5446,0.5,114,44.6
2026-06-08T11:00:00,4 Iron,Iron,124.3,87.1,1.43,196.2,203.2,7,12.4,0.4,4517,-0.6,104,44.2
2026-06-08T11:01:00,4 Iron,Iron,124.2,88.9,1.40,179.8,184.1,4.3,13.4,-0.5,4740,0.8,116,42.7
2026-06-08T11:02:00,4 Iron,Iron,122.6,90,1.36,189.1,196,6.9,13.4,-0.6,5014,0.9,112,45.4
2026-06-08T11:03:00,4 Iron,Iron,125.6,88.7,1.42,185.5,194,8.5,13,-0.9,4211,1.4,107,46.1
2026-06-08T11:04:00,4 Iron,Iron,123.3,88.2,1.40,192.8,196.8,4,16.2,1.4,5081,-2.1,136,43
2026-06-08T11:00:00,5 Iron,Iron,119.9,84.8,1.41,159.6,165.6,6,17.7,0.7,6666,-1,122,47.1
2026-06-08T11:01:00,5 Iron,Iron,120.6,86.7,1.39,162.2,166.8,4.6,18.2,3.3,6735,-4.9,119,49.7
2026-06-08T11:02:00,5 Iron,Iron,121.8,87,1.40,173.2,181.5,8.3,17.7,1.9,6632,-2.8,124,46.6
2026-06-08T11:03:00,5 Iron,Iron,119.7,84.8,1.41,167.8,176.1,8.3,17.6,-0.4,7339,0.6,104,44
2026-06-08T11:04:00,5 Iron,Iron,119.6,84.6,1.41,162.8,167.6,4.8,17.5,1.6,6516,-2.4,107,48.5
2026-06-08T11:05:00,5 Iron,Iron,120.4,84.9,1.42,155.8,156.9,1.1,18.5,1.7,6406,-2.5,127,44.1
2026-06-08T11:00:00,5 Iron,Iron,119.9,86.8,1.38,155.3,163,7.7,16.9,1.8,6518,-2.7,127,45.9
2026-06-08T11:01:00,5 Iron,Iron,122.3,85.5,1.43,166.3,169.8,3.5,17.8,0.7,6824,-1,109,49.3
2026-06-08T11:02:00,5 Iron,Iron,119.7,85.1,1.41,160.1,166.1,6,17.8,-0.4,6565,0.6,111,47.4
2026-06-08T11:03:00,5 Iron,Iron,123.6,85,1.45,163.5,167.4,3.9,18.7,-0.2,6070,0.3,123,44.8
2026-06-08T11:04:00,5 Iron,Iron,120.1,86.9,1.38,167.8,174,6.2,17.9,0.6,6859,-0.9,107,48.9
2026-06-08T11:05:00,5 Iron,Iron,120.3,87.3,1.38,158.2,164.9,6.7,17.4,-2.7,6788,4.1,108,45.7
2026-06-08T11:00:00,5 Iron,Iron,120.2,84.4,1.42,163.5,170.2,6.7,17.5,-0.3,5973,0.5,121,50.6
2026-06-08T11:01:00,5 Iron,Iron,121.8,84.8,1.44,158.6,164.8,6.2,17.8,0.3,6829,-0.4,113,46.6
2026-06-08T11:00:00,6 Iron,Iron,116.7,84.6,1.38,172.1,174.2,2.1,16.2,-1.5,5616,2.3,104,44.1
2026-06-08T11:01:00,6 Iron,Iron,118.2,85.3,1.39,173,178,5,15.9,-0.9,5965,1.4,124,44.8
2026-06-08T11:02:00,6 Iron,Iron,113.8,83.6,1.36,186,189,3,16,5.7,5651,-8.5,121,47.4
2026-06-08T11:03:00,6 Iron,Iron,116.3,84,1.39,176.5,184.2,7.7,15.3,1.2,5559,-1.8,120,45.3
2026-06-08T11:04:00,6 Iron,Iron,118.1,85,1.39,174.7,182.6,7.9,16.4,1.7,5495,-2.5,93,44.7
2026-06-08T11:05:00,6 Iron,Iron,117.6,82.5,1.43,183.4,188.2,4.8,17.5,1.2,5499,-1.8,121,45.9
2026-06-08T11:00:00,6 Iron,Iron,115.7,84.3,1.37,173.3,181.9,8.6,15.9,3.1,5477,-4.6,111,44.4
2026-06-08T11:01:00,6 Iron,Iron,118.5,83.3,1.42,184.3,192.5,8.2,16.4,0.6,5437,-0.9,107,47.4
2026-06-08T11:02:00,6 Iron,Iron,115.7,85.1,1.36,176.4,180.1,3.7,14,-2.9,5412,4.4,112,47.1
2026-06-08T11:03:00,6 Iron,Iron,115.8,83.6,1.38,175.8,181.3,5.5,17.1,-2.1,5443,3.2,118,44.3
2026-06-08T11:04:00,6 Iron,Iron,117.2,83.3,1.41,183.8,192.2,8.4,17.2,1.5,5292,-2.2,100,45.9
2026-06-08T11:05:00,6 Iron,Iron,115.6,84.3,1.37,185.2,192.5,7.3,13.4,3.4,5691,-5.1,114,46.1
2026-06-08T11:00:00,6 Iron,Iron,117.6,83.5,1.41,169.9,178.5,8.6,17.5,-3.5,5178,5.3,116,43.4
2026-06-08T11:00:00,7 Iron,Iron,116.7,81.9,1.42,157,163.5,6.5,16.4,1.1,5674,-1.6,117,45.7
2026-06-08T11:01:00,7 Iron,Iron,115,81.3,1.41,165.2,174.4,9.2,17.6,-3,6090,4.5,120,46.1
2026-06-08T11:02:00,7 Iron,Iron,113,82.8,1.36,166,173.9,7.9,17.5,1,5996,-1.5,132,50.8
