Time,Bay,Selected Club,Carry (m),Total (m),Ball Speed (m/s),Launch,Direction
2026-05-18T10:01:00,2026-05-18,Iron 9,132.3,138.3,45.9,22.2,1.1
2026-05-18T10:02:00,2026-05-18,Iron 9,128.2,135.7,45.9,20.1,1.3
2026-05-18T10:03:00,2026-05-18,Iron 9,133,137.8,46.3,20.7,-0.3
2026-05-18T10:04:00,2026-05-18,Iron 9,121.8,126.2,47,20.5,-2.5
2026-05-18T10:00:00,2026-05-18,PW,117.3,121.4,43.3,21.8,2.5
2026-05-18T10:01:00,2026-05-18,PW,117.3,121.6,43.5,22.9,-1.5
2026-05-18T10:02:00,2026-05-18,PW,112.2,119.8,43.3,24.8,1.4
2026-05-18T10:03:00,2026-05-18,PW,116.1,122.3,43.7,22.8,0.1
2026-05-18T10:04:00,2026-05-18,PW,111.3,114.5,44.3,22.7,-1.2
2026-05-18T10:05:00,2026-05-18,PW,111.7,117.6,43.5,23.8,-1.1
2026-05-18T10:00:00,2026-05-18,PW,112.7,118,44.4,23.4,-0.4
2026-05-18T10:01:00,2026-05-18,PW,113.4,122.3,43.8,22.7,0.4
2026-05-18T10:02:00,2026-05-18,PW,112.1,117.6,43.4,22.1,-1.1
2026-05-18T10:03:00,2026-05-18,PW,113.6,118.9,44.2,24.5,-1.8
2026-05-18T10:00:00,2026-05-18,52,100.2,108.4,40.2,24.8,-0.5
2026-05-18T10:01:00,2026-05-18,52,98.3,104.2,41.2,26.5,0.9
2026-05-18T10:02:00,2026-05-18,52,105.2,111.2,40.7,24,-0.4
2026-05-18T10:03:00,2026-05-18,52,104.9,112.6,40,24.3,-4
2026-05-18T10:04:00,2026-05-18,52,101.6,109.8,40.8,24.2,1.7
2026-05-18T10:05:00,2026-05-18,52,87.7,91.3,40.4,25.4,2.2
2026-05-18T10:00:00,2026-05-18,52,103.7,107.3,40.5,26.6,-2.3
2026-05-18T10:01:00,2026-05-18,52,98,103.7,41.6,26,-4.3
2026-05-18T10:02:00,2026-05-18,52,97.3,103.6,40,24.4,-0.4
2026-05-18T10:00:00,2026-05-18,56,82.7,85.4,36.7,27.5,0.2
2026-05-18T10:01:00,2026-05-18,56,83.4,92.4,35.9,26.6,2.7
2026-05-18T10:02:00,2026-05-18,56,77.8,82.5,36.7,26.5,-0.1
2026-05-18T10:03:00,2026-05-18,56,77.2,80.7,37.6,27.6,-1.5
2026-05-18T10:04:00,2026-05-18,56,78.7,83,36.6,25.9,0.1
2026-05-18T10:05:00,2026-05-18,56,80.7,89.2,34.8,29.4,1.5
2026-05-18T10:00:00,2026-05-18,56,84.7,92.5,35.9,28.9,-0.6
2026-05-18T10:01:00,2026-05-18,56,82.5,85.1,36.3,25.6,2.1
2026-05-18T10:00:00,2026-05-18,60,69.3,76.8,31,30.2,1.4
2026-05-18T10:01:00,2026-05-18,60,63.7,67.8,32,29.7,2
2026-05-18T10:02:00,2026-05-18,60,61,66.4,33.2,30.6,1.7
2026-05-18T10:03:00,2026-05-18,60,65.7,74.2,31.4,30.4,1.9
2026-05-18T10:04:00,2026-05-18,60,60.4,66.2,32.7,31.3,-0.3
2026-05-18T10:05:00,2026-05-18,60,78.7,80.4,30.8,30,-1.7
2026-05-18T10:00:00,2026-05-18,60,68.9,73.5,33.1,29.9,1.5
2026-06-08T11:00:00,2026-06-08,Driver,241.4,259.3,73.3,12.5,-2.5
2026-06-08T11:01:00,2026-06-08,Driver,242.9,263.4,72.1,11.6,2.8
2026-06-08T11:02:00,2026-06-08,Driver,252.8,272.6,71.4,14.4,2.4
2026-06-08T11:03:00,2026-06-08,Driver,244.5,259.7,72.3,13.6,-1.9
2026-06-08T11:04:00,2026-06-08,Driver,240.7,263.5,72.5,11.8,-3.4
2026-06-08T11:05:00,2026-06-08,Driver,236,256.4,72.6,14.3,0.7
2026-06-08T11:00:00,2026-06-08,Driver,241.1,261.4,72.3,14.7,1.3
2026-06-08T11:01:00,2026-06-08,Driver,243.3,266.7,72.6,14.4,0.6
2026-06-08T11:02:00,2026-06-08,Driver,249.4,270.3,72.4,14.1,-0.7
2026-06-08T11:03:00,2026-06-08,Driver,232.5,250.1,72.8,12.6,2
2026-06-08T11:04:00,2026-06-08,Driver,251.4,270.8,73.1,13.7,-0.6
2026-06-08T11:05:00,2026-06-08,Driver,236.6,258,71.7,13.5,-1.5
2026-06-08T11:00:00,2026-06-08,3 Wood,219,225.5,66.6,13.1,-0.2
2026-06-08T11:01:00,2026-06-08,3 Wood,225.2,231.3,68.2,12.5,-1
2026-06-08T11:02:00,2026-06-08,3 Wood,211,217.2,68,11.8,3.8
2026-06-08T11:03:00,2026-06-08,3 Wood,217.6,224,68.1,13.4,-1.4
2026-06-08T11:04:00,2026-06-08,3 Wood,214.7,219.6,67.9,13.6,-0.4
2026-06-08T11:05:00,2026-06-08,3 Wood,213.1,219.1,68.6,12.9,1.3
2026-06-08T11:00:00,2026-06-08,3 Wood,213.8,220.6,66.7,12.8,4.6
2026-06-08T11:01:00,2026-06-08,3 Wood,213.4,219.4,68.8,12.6,1.8
2026-06-08T11:02:00,2026-06-08,3 Wood,217.9,223.2,67.7,12.3,-0.1
2026-06-08T11:03:00,2026-06-08,3 Wood,223.1,230.4,67.8,11.6,-2.9
2026-06-08T11:00:00,2026-06-08,Iron 4,171.7,175.2,54.5,15.4,-1.6
2026-06-08T11:01:00,2026-06-08,Iron 4,164.9,169.2,56.4,13.8,-1
2026-06-08T11:02:00,2026-06-08,Iron 4,176.2,182.9,54.4,16.2,-2.5
2026-06-08T11:03:00,2026-06-08,Iron 4,176,180.1,54.9,14.8,-1.7
2026-06-08T11:04:00,2026-06-08,Iron 4,167.6,171.1,56.3,14.5,-2
2026-06-08T11:05:00,2026-06-08,Iron 4,174.7,178.7,55.6,14.7,-0.3
2026-06-08T11:00:00,2026-06-08,Iron 4,179.4,185.8,55.6,12.4,0.4
2026-06-08T11:01:00,2026-06-08,Iron 4,164.4,168.3,55.5,13.4,-0.5
2026-06-08T11:02:00,2026-06-08,Iron 4,172.9,179.2,54.8,13.4,-0.6
2026-06-08T11:03:00,2026-06-08,Iron 4,169.6,177.4,56.1,13,-0.9
2026-06-08T11:04:00,2026-06-08,Iron 4,176.3,180,55.1,16.2,1.4
2026-06-08T11:00:00,2026-06-08,Iron 5,145.9,151.4,53.6,17.7,0.7
2026-06-08T11:01:00,2026-06-08,Iron 5,148.3,152.5,53.9,18.2,3.3
2026-06-08T11:02:00,2026-06-08,Iron 5,158.4,166,54.4,17.7,1.9
2026-06-08T11:03:00,2026-06-08,Iron 5,153.4,161,53.5,17.6,-0.4
2026-06-08T11:04:00,2026-06-08,Iron 5,148.9,153.3,53.5,17.5,1.6
2026-06-08T11:05:00,2026-06-08,Iron 5,142.5,143.5,53.8,18.5,1.7
2026-06-08T11:00:00,2026-06-08,Iron 5,142,149,53.6,16.9,1.8
2026-06-08T11:01:00,2026-06-08,Iron 5,152.1,155.3,54.7,17.8,0.7
2026-06-08T11:02:00,2026-06-08,Iron 5,146.4,151.9,53.5,17.8,-0.4
2026-06-08T11:03:00,2026-06-08,Iron 5,149.5,153.1,55.3,18.7,-0.2
2026-06-08T11:04:00,2026-06-08,Iron 5,153.4,159.1,53.7,17.9,0.6
2026-06-08T11:05:00,2026-06-08,Iron 5,144.7,150.8,53.8,17.4,-2.7
2026-06-08T11:00:00,2026-06-08,Iron 5,149.5,155.6,53.7,17.5,-0.3
2026-06-08T11:01:00,2026-06-08,Iron 5,145,150.7,54.4,17.8,0.3
2026-06-08T11:00:00,2026-06-08,Iron 6,157.4,159.3,52.2,16.2,-1.5
2026-06-08T11:01:00,2026-06-08,Iron 6,158.2,162.8,52.8,15.9,-0.9
2026-06-08T11:02:00,2026-06-08,Iron 6,170.1,172.8,50.9,16,5.7
2026-06-08T11:03:00,2026-06-08,Iron 6,161.4,168.4,52,15.3,1.2
2026-06-08T11:04:00,2026-06-08,Iron 6,159.7,167,52.8,16.4,1.7
2026-06-08T11:05:00,2026-06-08,Iron 6,167.7,172.1,52.6,17.5,1.2
2026-06-08T11:00:00,2026-06-08,Iron 6,158.5,166.3,51.7,15.9,3.1
2026-06-08T11:01:00,2026-06-08,Iron 6,168.5,176,53,16.4,0.6
2026-06-08T11:02:00,2026-06-08,Iron 6,161.3,164.7,51.7,14,-2.9
2026-06-08T11:03:00,2026-06-08,Iron 6,160.8,165.8,51.8,17.1,-2.1
2026-06-08T11:04:00,2026-06-08,Iron 6,168.1,175.7,52.4,17.2,1.5
2026-06-08T11:05:00,2026-06-08,Iron 6,169.3,176,51.7,13.4,3.4
2026-06-08T11:00:00,2026-06-08,Iron 6,155.4,163.2,52.6,17.5,-3.5
2026-06-08T11:00:00,2026-06-08,Iron 7,143.6,149.5,52.2,16.4,1.1
2026-06-08T11:01:00,2026-06-08,Iron 7,151.1,159.5,51.4,17.6,-3
2026-06-08T11:02:00,2026-06-08,Iron 7,151.8,159,50.5,17.5,1
2026-06-08T11:03:00,2026-06-08,Iron 7,147.6,153,50,16.9,0.8
2026-06-08T11:04:00,2026-06-08,Iron 7,158.2,161.8,51,17.4,-1.9
2026-06-08T11:05:00,2026-06-08,Iron 7,153.3,160.4,50.9,18.3,2.4
2026-06-08T11:00:00,2026-06-08,Iron 7,154.3,159.9,51.1,15.9,-1.6
2026-06-08T11:01:00,2026-06-08,Iron 7,155,161.2,51.1,16.9,4.7
2026-06-08T11:02:00,2026-06-08,Iron 7,151,155.9,49.4,16.9,-0.5
2026-06-08T11:03:00,2026-06-08,Iron 7,145.6,150,51.5,17.6,2.1
2026-06-08T11:04:00,2026-06-08,Iron 7,159.4,164,51.3,18.1,0.1
2026-06-08T11:05:00,2026-06-08,Iron 7,154.1,160.3,51.1,18,0
2026-06-08T11:00:00,2026-06-08,Iron 7,157.3,165.8,50.5,18.9,-1.5
2026-06-08T11:00:00,2026-06-08,Iron 8,134.1,138.9,47.8,18.3,-0.7
2026-06-08T11:01:00,2026-06-08,Iron 8,132.8,138.1,49.4,18.9,0.7
2026-06-08T11:02:00,2026-06-08,Iron 8,131,136.4,48.2,20.6,2.4
2026-06-08T11:03:00,2026-06-08,Iron 8,134.1,136.2,47.3,19.7,-3
2026-06-08T11:04:00,2026-06-08,Iron 8,135.4,140.4,49.1,18.6,-4
2026-06-08T11:05:00,2026-06-08,Iron 8,135.8,142.4,48.4,18.8,-0.6
2026-06-08T11:00:00,2026-06-08,Iron 8,140.6,145.7,48,17.9,-4.2
2026-06-08T11:01:00,2026-06-08,Iron 8,141.5,145.7,48.4,18.3,1.6
2026-06-08T11:02:00,2026-06-08,Iron 8,140.3,148.5,47.8,19.7,-1.7
2026-06-08T11:03:00,2026-06-08,Iron 8,132.9,142.3,49,17.9,-0.9
2026-06-08T11:00:00,2026-06-08,Iron 9,122.7,128.2,46.1,21.1,-2.6
2026-06-08T11:01:00,2026-06-08,Iron 9,132,139,46.1,21.9,-1.8
2026-06-08T11:02:00,2026-06-08,Iron 9,135.9,140.7,46.2,21.7,-0.9
2026-06-08T11:03:00,2026-06-08,Iron 9,127.9,135.2,46.8,21.9,0
2026-06-08T11:04:00,2026-06-08,Iron 9,127.3,134,46.1,20.4,1.5
2026-06-08T11:05:00,2026-06-08,Iron 9,124.4,130.1,45.5,22,-5.5
2026-06-08T11:00:00,2026-06-08,Iron 9,120.4,123.2,46.2,20.8,-0.5
2026-06-08T11:01:00,2026-06-08,Iron 9,120,123.7,46.4,22.1,2.2
2026-06-08T11:02:00,2026-06-08,Iron 9,127.1,131.2,46.4,20.4,2.7
2026-06-08T11:00:00,2026-06-08,PW,118.9,125.4,42.6,23.9,-0.1
2026-06-08T11:01:00,2026-06-08,PW,112.6,116,42.4,23.8,-1.3
2026-06-08T11:02:00,2026-06-08,PW,118.6,121.7,43.7,23.6,-1.8
2026-06-08T11:03:00,2026-06-08,PW,126,130.2,43.9,21.2,-0.2
2026-06-08T11:04:00,2026-06-08,PW,112.3,119.5,43.8,25.4,-1.8
2026-06-08T11:05:00,2026-06-08,PW,115.6,121.6,43.6,22.9,-1
2026-06-08T11:00:00,2026-06-08,PW,113.8,119.4,43.2,22.6,1.1
2026-06-08T11:01:00,2026-06-08,PW,113.7,117.1,43.8,23.7,-3.1
2026-06-08T11:02:00,2026-06-08,PW,107.7,112.5,43.1,22,-1.7
2026-06-08T11:00:00,2026-06-08,52,93.1,98.5,39.7,24.8,0
2026-06-08T11:01:00,2026-06-08,52,96.5,101,39.8,24.8,0.1
2026-06-08T11:02:00,2026-06-08,52,100.3,106.2,40.3,22.8,1.2
2026-06-08T11:03:00,2026-06-08,52,99,106.6,40.6,24.6,-2.2
2026-06-08T11:04:00,2026-06-08,52,101,110.9,41.2,23.1,-0.4
2026-06-08T11:05:00,2026-06-08,52,110,114.6,41.5,25.3,1.6
2026-06-08T11:00:00,2026-06-08,52,98.7,103.1,40.5,26,-3.2
2026-06-08T11:01:00,2026-06-08,52,92.5,101.2,40.5,25.8,-0.3
2026-06-08T11:00:00,2026-06-08,56,88,92.7,36.1,27.1,-1.9
2026-06-08T11:01:00,2026-06-08,56,86.1,93.6,39.3,26.5,-2.3
2026-06-08T11:02:00,2026-06-08,56,91.2,98.8,36.5,27.4,-2.6
2026-06-08T11:03:00,2026-06-08,56,95.7,99,36,25.1,-1
2026-06-08T11:04:00,2026-06-08,56,88.7,91.3,36.9,25.3,-2.5
2026-06-08T11:05:00,2026-06-08,56,83.6,90.1,37.5,27.2,0.1
2026-06-08T11:00:00,2026-06-08,56,90.1,93.2,37.6,26.9,1.6
2026-06-08T11:00:00,2026-06-08,60,64.2,71,31.2,29.1,1.2
2026-06-08T11:01:00,2026-06-08,60,73.4,80.1,31.5,30.4,0.2
2026-06-08T11:02:00,2026-06-08,60,66.2,72.8,32.5,28.5,-2.8
2026-06-08T11:03:00,2026-06-08,60,73.3,79.1,32.8,31.2,-0.3
2026-06-08T11:04:00,2026-06-08,60,56.2,61.5,32.9,31.2,0.5
2026-06-08T11:05:00,2026-06-08,60,70.7,75.5,31.7,30.5,-2.5
2026-06-08T11:00:00,2026-06-08,60,67.9,74.4,31.5,28.3,2.5
