Date,Club,Ball Speed,Club Speed,Smash Factor,Carry,Total,Launch Angle,Launch Direction,Back Spin,Side Spin,Peak Height,Descent Angle,Angle of Attack,Club Path,Face Angle
2026-05-18T10:01:00,3W,150.5,103.2,1.46,236.6,243.3,11.3,-4.3,3847,-80,113,42.4,-5,1.8,1.1
2026-05-18T10:02:00,3W,150.9,102.3,1.47,251,257.6,11.7,0.5,3319,-529,134,40.2,-1.8,2,-1.1
2026-05-18T10:03:00,3W,149.7,104,1.44,240.2,247.4,11.6,0.9,3104,-38,105,41.7,-3.7,1,0.2
2026-05-18T10:04:00,3W,153.2,103.6,1.48,239.1,244.3,11.3,1.1,2793,-218,112,44.4,-3.9,1.6,0.2
2026-05-18T10:05:00,3W,151.3,101.6,1.49,245.9,254,11,-3,3388,-550,118,41.4,-3.6,1.7,-0.4
2026-05-18T10:00:00,4I,124.1,89.9,1.38,189.2,195.8,14,0.8,5226,-411,112,45,-3.7,1.6,1
2026-05-18T10:01:00,4I,122,89.8,1.36,190.8,194.3,13.8,0.3,5244,47,120,48.9,-1.7,1.9,2.7
2026-05-18T10:02:00,4I,124.8,86.8,1.44,191.6,198.7,14.2,-0.3,4118,-706,110,42,-4.1,3,0.2
2026-05-18T10:03:00,4I,123.9,87.8,1.41,200.9,206.2,14.2,-2.1,4680,346,117,46.1,-4.5,3.1,0.9
2026-05-18T10:04:00,4I,122.5,87.6,1.40,197,201.4,13.6,-1,4619,-414,123,46,-5.8,1.3,0.4
2026-05-18T10:05:00,4I,124.2,90.9,1.37,189,194.6,14.1,1.5,4509,76,134,45.8,-4.8,2.1,-0.5
2026-05-18T10:00:00,4I,121.9,89.9,1.36,196.1,199.2,14.8,0.4,5375,-1036,104,45,-2.3,0.9,1
2026-05-18T10:01:00,4I,125,89.6,1.40,183.1,190.7,14.4,1.2,4671,-292,108,44.5,-2.7,2.5,2.2
2026-05-18T10:02:00,4I,122.6,90.4,1.36,186.4,197.1,13,2.8,4744,9,126,44,-5.9,2.5,2.3
2026-05-18T10:03:00,4I,128.4,87.8,1.46,207.5,211.3,14,-0.8,5292,122,101,45.4,-4.3,1.2,-1
2026-05-18T10:04:00,4I,122.3,88.9,1.38,195.7,201,14.3,1.2,4584,-491,124,48,-4.2,-1.9,-0.8
2026-05-18T10:05:00,4I,124.9,88.3,1.41,194,194.3,14.4,3.9,5180,-294,100,47.5,-3.5,2.9,-0.2
2026-05-18T10:00:00,4I,121.6,90.1,1.35,188.5,194.4,13.2,0.1,4783,-384,117,43.5,-3.3,0.7,3.4
2026-05-18T10:00:00,5I,118.6,87.4,1.36,167.2,177.2,16.3,-1.7,6766,-526,102,50.3,-4.8,0.6,2.7
2026-05-18T10:01:00,5I,118.8,84.4,1.41,170,175.3,16.2,-1.3,6626,-256,116,49.2,-4.3,1.4,1.2
2026-05-18T10:02:00,5I,120.9,85.7,1.41,158.9,169.8,16.9,-1.6,6236,-545,112,49.3,-4.5,2.5,-0.2
2026-05-18T10:03:00,5I,120.8,86.2,1.40,169.4,176.7,18.6,0.7,6195,-267,113,48.5,-4.5,2.6,0
2026-05-18T10:04:00,5I,119.7,86.5,1.38,158.4,164.9,18.1,-1.1,5883,-321,115,45.5,-4.1,1.5,1.2
2026-05-18T10:05:00,5I,118.2,86.3,1.37,164.6,171.6,16.4,-3,5998,-78,118,45.8,-3.8,1.1,-0.9
2026-05-18T10:00:00,5I,121.5,88.1,1.38,169.5,171.2,18.2,1.3,6433,-795,122,51.2,-1.1,0,-1.6
2026-05-18T10:01:00,5I,123.2,85,1.45,159.2,164.7,16.3,-0.2,6748,-157,113,45.5,-4,3.1,-0.7
2026-05-18T10:02:00,5I,121,88,1.37,158,162,17.8,0.6,6295,-279,116,47,-4.5,2.9,-0.8
2026-05-18T10:03:00,5I,118.9,86.3,1.38,160.2,163.3,19,3.3,6985,-212,123,49.5,-6.4,2.6,1.7
2026-05-18T10:04:00,5I,120.6,88.4,1.36,164,167.9,15.6,3.1,5460,252,107,47.8,-2.7,1.4,1
2026-05-18T10:05:00,5I,121.6,85.4,1.42,162.4,165.6,16.5,-4.1,5920,-201,116,48.3,-3.4,2.2,-0.1
2026-05-18T10:00:00,5I,119,86.5,1.38,159.8,163.1,17.3,0.7,7410,-500,117,46.2,-0.7,3.7,1.2
2026-05-18T10:01:00,5I,120.7,84,1.44,164.2,171,18.6,-1.2,7098,-327,109,50.7,-2.7,2.9,0.5
2026-05-18T10:02:00,5I,119.7,84.2,1.42,154.9,164.3,16.5,-0.5,5031,217,124,50.9,-3.2,-0.1,1.8
2026-05-18T10:03:00,5I,121.1,86.2,1.41,171,174.9,18.5,-1.7,6564,-24,126,46.5,-4.2,0.9,3
2026-05-18T10:00:00,6I,117.5,83.2,1.41,176.6,180,17.6,1,5902,-735,118,45.3,-4.4,-0.5,1.3
2026-05-18T10:01:00,6I,117.7,83.6,1.41,166.8,175.7,16.8,1.1,5664,136,117,47.9,-5.1,3.8,0.7
2026-05-18T10:02:00,6I,116.2,82.9,1.40,179.6,188,16.5,0.9,5766,75,113,45.1,-2.9,0.6,-0.1
2026-05-18T10:03:00,6I,115.8,85.1,1.36,177.4,186.9,15.8,-0.9,5592,-515,113,46.8,-4.8,1,0.4
2026-05-18T10:04:00,6I,117.1,83.5,1.40,177,186,14.4,-4.2,5438,-213,122,49,-3.4,2.5,1.5
2026-05-18T10:05:00,6I,115.3,84.2,1.37,177.4,184.4,17.8,0.3,6067,-378,124,44.6,-3.2,0.1,-0.8
2026-05-18T10:00:00,6I,116.5,84.9,1.37,172.2,177,15.7,2.5,5740,56,109,46.1,-4.3,1.4,1.2
2026-05-18T10:01:00,6I,116.1,85.5,1.36,176.6,182.4,14.9,0.8,5992,-247,96,48.6,-4.4,1,-0.8
2026-05-18T10:02:00,6I,120.3,85.5,1.41,175.2,180.7,16.3,5.6,4936,-685,103,43.9,-3.5,-0.3,-0.3
2026-05-18T10:03:00,6I,116.2,83.8,1.39,170.2,179.2,16.3,-3,6117,-151,125,44.8,-4,0.1,-0.5
2026-05-18T10:04:00,6I,117.7,83.2,1.41,173.2,176.2,14.9,1.3,5673,-180,113,47.3,-3.1,0.9,0.7
2026-05-18T10:05:00,6I,116.3,85.2,1.36,169.1,178,15.2,1.6,5670,-15,99,44.3,-4.2,0.9,1.5
2026-05-18T10:00:00,6I,117.9,83.2,1.42,181.8,187.9,16.5,2.4,5315,198,114,47,-4.4,1.7,0.1
2026-05-18T10:01:00,6I,114.8,83,1.38,175.5,182.4,15.5,2.1,5750,-260,111,46.1,-3.9,0.4,-1
2026-05-18T10:02:00,6I,119.1,85.6,1.39,182.5,190.2,16.8,0.5,5020,-313,111,48,-4.5,2.4,2.2
2026-05-18T10:00:00,7I,114.6,80.1,1.43,160.8,165.5,17.6,-0.6,6190,-342,124,47.8,-2.9,0.3,0.2
2026-05-18T10:01:00,7I,114.6,81.1,1.41,154.5,160,16.9,3.2,6601,-192,114,47.7,-3,0.7,0.3
2026-05-18T10:02:00,7I,113.1,81.8,1.38,169.8,174.5,15.7,1.3,6374,-477,124,47.7,-3.8,0.2,1.4
2026-05-18T10:03:00,7I,113.4,80.6,1.41,174.3,183.6,17.9,-4.3,5501,-743,105,50.2,-3.3,0.5,1.9
2026-05-18T10:04:00,7I,112.8,83.4,1.35,168.4,173.2,18.8,-1.4,5679,-244,126,47.1,-3.7,2.1,-1.4
2026-05-18T10:05:00,7I,112.7,82.2,1.37,170.6,178.9,16.6,1.3,6149,-953,111,47.2,-2.5,2,0.2
2026-05-18T10:00:00,7I,111.9,80.5,1.39,165.9,170,18.5,2.9,5942,-722,119,50.4,-4.5,0.3,-0.1
2026-05-18T10:01:00,7I,112.1,81.6,1.37,162.8,166.5,19.3,1.9,5725,-489,110,50,-4.3,2.7,1.1
2026-05-18T10:02:00,7I,110.8,80.9,1.37,173,180.9,16.8,2.2,5902,194,111,45.9,-3.7,-0.4,2.8
2026-05-18T10:03:00,7I,114.1,83.7,1.36,174.8,182.1,17.7,0.1,5814,-163,114,45.4,-3.7,1.5,0.8
2026-05-18T10:04:00,7I,114,80.8,1.41,162.9,166.4,17.2,-1.2,6143,223,117,48.3,-4.8,1,1.4
2026-05-18T10:05:00,7I,114.5,81.2,1.41,172.7,177.6,17.7,1.8,5808,-414,123,51.2,-3.6,1.4,0.5
2026-05-18T10:00:00,7I,112.3,80.5,1.39,171.6,177,17.2,0.9,5997,-533,131,47.9,-5,-0.3,-0.2
2026-05-18T10:01:00,7I,113.1,79.9,1.42,165.5,169.2,17.5,2.1,6434,-156,113,48.7,-3,2.7,2.4
2026-05-18T10:02:00,7I,111.7,81.6,1.37,167.5,173.4,17.8,0.5,6855,-352,115,48.3,-2.5,1.2,-0.1
2026-05-18T10:00:00,8I,110.1,77.9,1.41,149.5,155.9,20.5,0.9,7146,-485,115,48,-2.6,2.4,-0.9
2026-05-18T10:01:00,8I,107.9,78.3,1.38,144.8,153.5,17.4,-0.7,6736,-955,118,49.8,-4.7,3.5,2
2026-05-18T10:02:00,8I,111.3,78.8,1.41,142.4,146.7,19.3,-1.1,7075,-276,130,50.7,-3.4,2.3,-2.3
2026-05-18T10:03:00,8I,107.4,78.5,1.37,154.4,160.2,18,-0.1,6464,-929,127,49.7,-6.6,1.3,2.5
2026-05-18T10:04:00,8I,106.3,80,1.33,144.8,148.6,18.8,-2,6168,65,127,49.4,-3.9,-1.1,-1.5
2026-05-18T10:05:00,8I,107.4,78.3,1.37,148.4,155.3,18.4,-0.4,7081,-477,129,48.9,-4.3,1.5,0.8
2026-05-18T10:00:00,8I,106.7,76.2,1.40,152.3,157.9,19.4,-2.3,6831,60,115,53,-4.4,0.4,2.9
2026-05-18T10:01:00,8I,106,76.3,1.39,157,162,18.8,0.3,6799,46,115,48.9,-4.1,2.7,-1.2
2026-05-18T10:02:00,8I,106.8,78.7,1.36,156.4,162.6,18,3.3,6990,-124,109,48.9,-4.6,1.3,-0.7
2026-05-18T10:03:00,8I,108.1,78.6,1.38,146.8,152.5,18.2,1.3,6890,-388,138,53.1,-2.3,2.4,-0.2
2026-05-18T10:04:00,8I,106.4,77.4,1.37,150.6,159.2,20.9,-0.6,6897,-858,109,53.7,-4.4,0.9,-0.1
2026-05-18T10:05:00,8I,105.5,76.1,1.39,143.2,149.9,17.9,-3.6,7161,-140,116,49.8,-3.8,1,1.9
2026-05-18T10:00:00,9I,102.2,74,1.38,134.6,140,20.1,0.2,7303,90,115,53,-4,1.6,-1.2
2026-05-18T10:01:00,9I,103.5,75.7,1.37,137,142.2,20.9,-1.2,7889,157,118,48.6,-3.5,3.7,1.1
2026-05-18T10:02:00,9I,104.4,74.3,1.41,146.3,150.8,19.4,0.6,7450,-239,132,51.4,-3.8,1.3,2.7
2026-05-18T10:03:00,9I,99.8,73.5,1.36,150.1,151.9,21,-1.7,7413,43,124,50.6,-3.7,3.1,-0.3
2026-05-18T10:04:00,9I,101,74.5,1.36,137.6,142.6,21.1,-0.8,7665,-708,132,50.8,-1.9,0.3,1.9
2026-05-18T10:05:00,9I,101.8,75.8,1.34,131.8,135.6,20.5,-3.8,7329,-48,127,51.6,-2.6,2,2.5
2026-05-18T10:00:00,9I,103.7,74.1,1.40,130.3,138.7,19.5,-0.7,7729,-327,137,51,-4.2,2.4,-1
2026-05-18T10:01:00,9I,99,73.8,1.34,140.2,146.5,21.4,-2.7,7885,-692,111,47.5,-4.7,3.3,-1.4
2026-05-18T10:02:00,9I,101.5,75.4,1.35,136.3,140.7,20.4,0.2,7469,-663,124,54,-3.1,1,0.4
2026-05-18T10:03:00,9I,104.7,77.2,1.36,139.1,145.8,21.6,-0.3,7426,190,124,48.4,-3.4,2.5,0.3
2026-05-18T10:04:00,9I,100.9,74.1,1.36,139.5,143.1,21,1.1,7611,-786,130,51.7,-4.3,0.6,3.2
2026-05-18T10:00:00,PW,95.8,70.9,1.35,128.6,136.6,22.4,1.5,7889,-282,128,54.7,-2.9,1.2,2.5
2026-05-18T10:01:00,PW,97.4,71.6,1.36,124.4,128.4,22.9,1.5,8780,-219,126,53,-3.4,2.3,-0.3
2026-05-18T10:02:00,PW,95.9,72.5,1.32,126.6,134.7,22.9,1.6,7488,-236,129,52.8,-3.2,2,2.1
2026-05-18T10:03:00,PW,99,72.6,1.36,125.1,130.8,23.3,-1.8,8599,-286,119,53.1,-2.2,0.6,0.4
2026-05-18T10:04:00,PW,100.8,73.4,1.37,127.9,132.9,23.2,4.2,7852,-376,136,54.4,-3.5,0.7,-0.7
2026-05-18T10:05:00,PW,98,72.8,1.35,125.1,130.5,24.6,-0.4,8331,-8,129,56.2,-4.4,2.7,-2.3
2026-05-18T10:00:00,PW,99.5,72.3,1.38,130.7,136.1,23.2,-3.7,8426,338,130,55.8,-3.2,2.7,1.4
2026-05-18T10:01:00,PW,97.5,71.6,1.36,121.7,129,24,3,8661,-461,127,54.8,-3.5,1.1,0.9
2026-05-18T10:02:00,PW,96.4,72.3,1.33,131.1,133.2,22.9,-1.7,7697,106,132,52.5,-2.5,1,0.1
2026-05-18T10:03:00,PW,95.9,72.5,1.32,130.8,134,20.4,-3.2,7868,-643,111,54.7,-4,0.2,-0.4
2026-05-18T10:00:00,52,87.6,69.7,1.26,102,109.4,24.6,-1.3,8336,-520,123,58.3,-3.3,2.1,-1.2
2026-05-18T10:01:00,52,92.6,69.7,1.33,110.6,117.4,23.7,0.9,9029,-584,121,55.3,-3.8,1.9,-0.3
2026-05-18T10:02:00,52,90.1,67.7,1.33,103.8,112.8,26.3,0,8419,-287,137,52.8,-5,1.7,0.4
2026-05-18T10:03:00,52,92.2,69.9,1.32,109.1,114.9,24.2,0.5,8854,-972,128,57.1,-3.8,-0.4,-0.7
2026-05-18T10:04:00,52,90.7,68.3,1.33,102,108.2,24.9,-0.1,8474,-202,124,52.7,-3.6,0.4,0.3
2026-05-18T10:05:00,52,89.8,66.9,1.34,103.5,106.6,25.3,0.9,9088,-425,125,55,-3.6,0.6,1.9
2026-05-18T10:00:00,52,87.7,67.3,1.30,98.2,105.8,24.6,1,9231,-644,124,53.7,-3.5,3.5,-1
2026-05-18T10:01:00,52,94.5,67.1,1.41,111.5,115.4,24.2,0.9,8257,-411,129,51.6,-4,1.9,1.5
2026-05-18T10:02:00,52,90.6,68.7,1.32,106.4,111,25.7,3.3,9035,-237,130,57.2,-2.5,2.9,1.6
2026-05-18T10:00:00,56,82.3,65.3,1.26,92.8,100,28,-0.4,9825,-407,122,61.8,-3.9,2.9,2
2026-05-18T10:01:00,56,79.4,63.7,1.25,84.6,90.7,25.8,0.6,9417,-273,126,58.6,-5.1,2.1,-1.1
2026-05-18T10:02:00,56,81.6,65.2,1.25,87.3,96,24.5,-3.4,9938,-136,119,56.8,-3.3,1.6,-0.1
2026-05-18T10:03:00,56,83.3,65.6,1.27,96.1,101.3,27.4,1.9,9218,-78,133,57.1,-5.2,1.9,-0.5
2026-05-18T10:04:00,56,81.7,63.1,1.29,88.7,94.7,27.3,-0.4,9565,-718,125,56.9,-4.1,4.4,-0.4
2026-05-18T10:05:00,56,82.6,62.7,1.32,98.2,105.5,27.9,0.1,9464,-257,136,59.1,-3.6,1.8,0.7
2026-05-18T10:00:00,56,83.1,62.8,1.32,86.2,92,28.1,4.1,9569,-308,133,54.3,-5.1,0.4,0.5
2026-05-18T10:01:00,56,79.7,63.9,1.25,85.3,92.5,27.3,3.1,9342,-114,123,59.4,-5,2.6,1
2026-05-18T10:00:00,60,72.2,57.5,1.26,74.4,80,30.1,1,10050,-724,138,60.3,-4.1,-0.8,-0.3
2026-05-18T10:01:00,60,70.7,59,1.20,69.3,70.8,31.3,-1.1,10574,-454,131,62.5,-4.6,3.1,-2
2026-05-18T10:02:00,60,72,56.1,1.28,76.2,83.5,32.9,-0.5,9691,-98,131,59.9,-3.8,0.7,0
2026-05-18T10:03:00,60,73.2,57.6,1.27,76.9,82.9,30.7,0.7,10003,-84,134,61.9,-3.1,-1.7,-0.2
2026-05-18T10:04:00,60,70.1,58,1.21,76,83.2,29.4,1.8,10722,-381,135,58.4,-4.9,1.8,0.5
2026-05-18T10:05:00,60,74,59.9,1.24,68.2,76.1,29.2,-1.2,10084,-616,134,60.9,-3.1,2.8,1
2026-05-18T10:00:00,60,71.6,57,1.26,77.5,82.1,29.7,-2.3,10515,-445,123,59.5,-3.4,1,-0.4
2026-06-08T11:00:00,DR,162.5,109.7,1.48,278,302,13.9,0.3,2241,-129,106,42.3,3.7,0.1,2
2026-06-08T11:01:00,DR,161.9,111.4,1.45,252.3,269.2,13.7,0.1,2278,-223,116,46.9,2.5,1.6,-1
2026-06-08T11:02:00,DR,160.6,111.8,1.44,263.8,286.3,14.8,-2.6,1952,-687,101,40.3,4.9,2.4,-0.5
2026-06-08T11:03:00,DR,162.4,110.7,1.47,261.2,285.9,12.6,0.6,2637,-210,112,43.7,4.3,3.4,-1.2
2026-06-08T11:04:00,DR,161.8,110,1.47,261.4,284.3,13.5,1.8,3118,313,114,47.5,4.2,0.4,-0.4
2026-06-08T11:05:00,DR,161.1,108.9,1.48,270.9,295.1,13.9,2.1,2586,-665,116,43.3,2.7,1.3,-0.7
2026-06-08T11:00:00,DR,163.2,111,1.47,259.1,282.8,14.1,1.6,2661,-246,117,45.2,3.7,2,2.8
2026-06-08T11:01:00,DR,164.9,108.9,1.51,275.5,295.9,14.1,-4.3,2034,-521,116,44.4,3.4,0.7,2
2026-06-08T11:02:00,DR,162.6,112.8,1.44,275.9,294.5,14.5,0.9,2724,-332,104,42.2,3.3,1.1,0.3
2026-06-08T11:03:00,DR,160.1,111.8,1.43,276.3,295.2,11.8,-1.2,2670,-486,119,43.4,-0.8,3,2.1
2026-06-08T11:04:00,DR,162.9,111.1,1.47,274.4,297.1,13.5,0.6,2436,-234,117,44.5,0.5,2.1,-0.3
2026-06-08T11:05:00,DR,161.3,107.8,1.50,267.9,288.5,13.5,2.8,2913,-343,104,46.7,1.7,2.2,0.1
2026-06-08T11:00:00,3W,151.4,105.2,1.44,231.2,236.4,12.6,-0.4,2950,-392,125,40.1,-2.3,2.1,0.6
2026-06-08T11:01:00,3W,151.8,104.4,1.45,231.4,237.1,12.4,1.3,3838,-923,107,45.2,-5,1.4,2.1
2026-06-08T11:02:00,3W,151,102.2,1.48,238.7,242.8,10.8,-3.8,2864,-658,96,42.7,-4.1,1,2.1
2026-06-08T11:03:00,3W,151.4,104.1,1.45,229.4,232.6,10,-0.6,3094,-173,109,41.5,-3.7,1.2,1.1
2026-06-08T11:04:00,3W,150.6,102.8,1.47,234.7,237.2,11.5,-2.1,3463,-71,108,41.6,-6.1,0.3,0.4
2026-06-08T11:05:00,3W,154.2,102.7,1.50,238.8,246.4,11.4,-1.4,2965,-135,110,43.4,-4.6,0.8,-0.2
2026-06-08T11:00:00,3W,154.2,103,1.50,233.5,241.6,12.9,0.8,3364,-260,103,39.9,-3.5,4.1,0
2026-06-08T11:01:00,3W,152.3,103,1.48,233.7,239.8,10.4,0,3229,-306,108,39.4,-3.6,0.8,2.1
2026-06-08T11:02:00,3W,150,105.1,1.43,238.8,242.3,12.8,-3.1,3011,-206,125,42.5,-3.8,0.6,1.4
2026-06-08T11:03:00,3W,151.3,102.9,1.47,234.4,237.7,12.3,-0.2,3431,-216,115,42.5,-3,1.5,0.5
2026-06-08T11:00:00,4I,126.2,90.2,1.40,193.6,201.1,13.9,-0.5,4702,-60,117,43.6,-4.9,0.3,-0.6
2026-06-08T11:01:00,4I,124.2,85.7,1.45,187.7,194.2,15.8,-0.7,5108,-286,111,44.1,-3.4,-0.3,0.3
2026-06-08T11:02:00,4I,121.9,89.5,1.36,193,200.1,11.8,-1.8,5273,-325,121,41.8,-4.4,1.7,1.3
2026-06-08T11:03:00,4I,123.1,89,1.38,181.4,185.7,15.8,0,4647,-130,118,40.8,-4.6,2.3,1.6
2026-06-08T11:04:00,4I,123.9,87.1,1.42,196.3,197.1,13.9,1.4,4389,-27,118,43.1,-5.1,0.7,-1.1
2026-06-08T11:05:00,4I,123.8,89.4,1.39,197.7,201.1,15.1,-1.8,4706,-555,114,47.8,-1.6,1.7,0.9
2026-06-08T11:00:00,4I,124.2,88.2,1.41,182.7,187.4,16.9,-0.1,4866,-616,109,44.5,-1.6,2,1.8
2026-06-08T11:01:00,4I,126.4,89.1,1.42,198.3,204,14.2,1.6,4782,-634,114,43.5,-3.2,1.1,0.2
2026-06-08T11:02:00,4I,125.5,88.5,1.42,197.5,201.6,14.5,0,5085,-461,109,44.4,-2.8,1.8,1.4
2026-06-08T11:03:00,4I,121.6,88.4,1.38,186.6,193.7,12.9,1.3,4536,-236,103,44.2,-4.4,0.5,1.8
2026-06-08T11:04:00,4I,122,88.2,1.38,195.1,199.4,13.9,0,4553,-313,112,45.6,-3.3,0.8,-0.1
2026-06-08T11:00:00,5I,120.3,85.4,1.41,164.5,171,17.7,0.2,6519,-165,114,45.8,-6.2,3.7,0.9
2026-06-08T11:01:00,5I,119.2,86,1.39,172,177.1,17.9,-1.4,6711,75,126,45.3,-2.9,1.8,1.1
2026-06-08T11:02:00,5I,119.6,83.7,1.43,163.7,170.6,19.9,0,6670,-511,135,51.4,-4.5,2.4,1
2026-06-08T11:03:00,5I,121.2,86.2,1.41,162.5,166.8,17.4,2.7,6185,-144,124,45.9,-4.6,-0.4,1.1
2026-06-08T11:04:00,5I,120.6,86,1.40,157.1,166.6,18.3,-0.3,6162,320,110,47.5,-3.6,2.4,-0.5
2026-06-08T11:05:00,5I,120.2,85.4,1.41,178,182.5,16.6,0.7,6353,-13,147,48.2,-4.5,0.9,2.4
2026-06-08T11:00:00,5I,120.5,86.5,1.39,158.7,166.2,17.3,0.8,7006,383,119,49.8,-5.3,0.2,1.1
2026-06-08T11:01:00,5I,120,85.8,1.40,159.9,164.9,17.6,1.8,5830,-865,108,49.3,-3.6,0.9,1
2026-06-08T11:02:00,5I,117.7,84.5,1.39,168.9,177.3,16.1,-0.6,6580,-719,114,48,-5.1,2.2,0.7
2026-06-08T11:03:00,5I,121.8,87.7,1.39,179,182.5,18.3,-2.6,6708,-765,123,45.9,-6.1,1.7,-0.3
2026-06-08T11:04:00,5I,118.7,84.9,1.40,169.5,175.2,18.2,-2.9,6516,-857,126,45.5,-2.1,3.3,1.1
2026-06-08T11:05:00,5I,120.1,86.5,1.39,169.6,175.9,17.1,1.4,5811,-20,104,49.7,-3.4,-0.2,1.9
2026-06-08T11:00:00,5I,121.4,85.8,1.41,173,179.3,18.7,-0.3,6239,-789,115,49.9,-6.5,2.9,1
2026-06-08T11:01:00,5I,116.9,85.9,1.36,172.9,180.1,18,-1.4,6592,-720,109,47.8,-3.5,1,0.2
2026-06-08T11:00:00,6I,117,82.8,1.41,179.4,183.4,15.1,1.1,5715,-517,124,42.4,-3.4,0.7,0.5
2026-06-08T11:01:00,6I,116.9,83.6,1.40,188.8,194.7,16,2.4,5468,-1011,124,47.5,-2.8,1.4,-0.2
2026-06-08T11:02:00,6I,116.7,85.2,1.37,177.6,183.4,14.9,0.9,4755,-458,98,48.4,-3.1,0.8,0.8
2026-06-08T11:03:00,6I,114.5,85.1,1.35,177,184.3,15.8,0.9,5192,-678,113,49.5,-4,2.5,0.8
2026-06-08T11:04:00,6I,118.3,83.7,1.41,187.9,199.2,16.7,-2.9,5620,-331,114,46.5,-3.9,0.7,1.6
2026-06-08T11:05:00,6I,117.8,84.8,1.39,166.8,175.7,16.5,-0.6,6143,-741,111,47.4,-3.3,2.5,1.1
2026-06-08T11:00:00,6I,116,82.4,1.41,191.7,197.2,16.4,0.2,5419,-282,117,45.8,-2.3,1.4,0.8
2026-06-08T11:01:00,6I,116.1,84.3,1.38,178.8,186.3,15.7,-1.6,5618,-720,119,45.7,-5.5,1,-0.2
2026-06-08T11:02:00,6I,117,83.6,1.40,195.7,203.2,16.2,2,5223,196,110,47.3,-4.7,3.9,-0.8
2026-06-08T11:03:00,6I,114.3,85.4,1.34,180.6,184.4,15,-0.9,5279,236,115,46.3,-5,-0.2,0.4
2026-06-08T11:04:00,6I,119.6,84.8,1.41,176.2,182.4,16.8,1.4,5609,-359,96,48.6,-4.1,2.7,0.5
2026-06-08T11:05:00,6I,116.2,82,1.42,165.5,170.7,14.4,-3.4,5510,-301,111,48.9,-3.8,0.9,1.2
2026-06-08T11:00:00,6I,118,82.3,1.43,177.9,185.8,17.3,2.7,5345,-493,99,43.6,-7.1,1.2,-1.7
2026-06-08T11:00:00,7I,113.2,82.1,1.38,160,165.1,16.9,0.8,6518,42,126,47.8,-4.5,0.6,-0.9
2026-06-08T11:01:00,7I,111.6,80.2,1.39,179,183.7,18.2,1.8,6447,-458,123,47.6,-4.4,1.7,1
